,stockname,avg_profit,num_trades
0,JPASSOCIAT,1.1126809096872394,372
1,GMRINFRA,0.6148438128252044,288
2,ASHOKLEY,2.345275119360499,371
3,SUZLON,0.6056690754724872,314
4,IBREALEST,4.2284464922506695,252
5,RELCAPITAL,38.90534696604,191
6,ADANIENT,11.451267658031922,269
7,DLF,9.484726880411218,352
8,IDFC,1.643931355651623,501
9,SOUTHBANK,1.009823931321418,210
10,VEDL,9.405247691365888,341
11,SAIL,1.8980615582558253,428
12,IDFCBANK,1.9542777572535615,558
13,FEDERALBNK,3.1812621662344784,292
14,BANKBARODA,7.041258694945183,656
15,MANAPPURAM,3.7812810451385817,463
16,HINDALCO,3.3861622203437705,371
17,TATASTEEL,12.928104364136805,267
18,SBIN,6.110919542918187,480
19,JINDALSTEL,5.3941605801493075,321
20,RCOM,2.5682510489463395,537
21,HDIL,5.946768756127897,434
22,L&TFH,3.168960471808657,117
23,TATAMOTORS,20.737879837900298,718
24,NMDC,3.5439330999670253,696
25,ADANIPOWER,2.196354888219597,464
26,HCC,1.5266559013963972,588
27,INDIACEM,7.133668142160142,537
28,ICICIBANK,7.149959222475807,479
29,SUNTV,37.88316635393456,438
30,RELINFRA,27.449468799197376,406
31,PNB,7.023254166772043,455
32,JSWSTEEL,65.58795027333653,331
33,APOLLOTYRE,5.7986191129706075,485
34,MOTHERSUMI,35.89911138571052,333
35,TATAGLOBAL,2.559420892830451,266
36,RECLTD,8.6337328664683,478
37,ONGC,3.8552274004228475,836
38,RPOWER,1.8316559757703994,426
39,IDEA,4.960033560783753,523
40,JSWENERGY,1.9514684678076117,389
41,IFCI,1.9299240941931128,373
42,DHFL,12.599457671737072,241
43,TV18BRDCST,1.6682290416682202,426
44,CANBK,9.861858087846505,526
45,BANKINDIA,9.574726264161761,453
46,ORIENTBANK,7.8998138726213885,477
47,PFC,6.636543362530967,491
48,EXIDEIND,6.007956756458717,475
49,NCC,2.749211884541554,520
50,KTKBANK,5.469807978426091,441
51,BHARATFIN,28.408334037409567,454
52,M&MFIN,6.757064213081802,348
53,GRASIM,49.25307737482451,308
54,NATIONALUM,2.243069261511567,541
55,AXISBANK,9.33340423098983,476
56,UNIONBANK,9.331606882423788,463
57,AUROPHARMA,21.234302362636615,644
58,INFIBEAM,154.2844373106309,566
59,BEL,200.57124739677684,502
60,ESCORTS,28.97236903603475,297
61,FORTIS,8.38002791907719,735
62,ALBK,4.002818598834788,436
63,HINDPETRO,35.04456260695301,489
64,MRPL,3.1335194303596396,529
65,IDBI,3.169403337686558,664
66,TATAPOWER,1.440384233848814,528
67,PTC,2.8645936022309804,301
68,NHPC,0.4702446814950806,458
69,NTPC,3.081079270765573,538
70,SUNPHARMA,33.09937956961802,605
71,IOC,11.109137806711974,502
72,BPCL,46.915178380594874,506
73,INFY,30.6040304645295,569
74,RELIANCE,29.68963142457546,392
75,DISHTV,3.711711374892927,605
76,JUSTDIAL,24.273554615169225,713
77,ITC,8.574202245629406,466
78,BHEL,8.161171124819752,459
79,SYNDIBANK,3.9303316001375324,506
80,TATAMTRDVR,12.791921813063595,761
81,HINDZINC,11.712824658817697,480
82,CESC,26.511981877687965,323
83,GAIL,25.63271781721108,534
84,JISLJALEQS,4.117983165473066,492
85,COALINDIA,7.495090251704835,815
86,PCJEWELLER,55.587867567524086,396
87,ANDHRABANK,2.978101807238836,461
88,CGPOWER,2.857320945887399,330
89,POWERGRID,2.9843933705531525,435
90,GSFC,4.4264477325676035,439
91,AMBUJACEM,5.965123285403521,309
92,ADANIPORTS,8.010463498917664,289
93,SREINFRA,4.122097729619931,385
94,EQUITAS,4.967034282779009,604
95,IRB,7.954233529626859,537
96,DCBBANK,6.197544603847112,313
97,YESBANK,49.28970871945044,331
98,LICHSGFIN,22.801753122702564,365
99,VOLTAS,9.716855199110247,334
100,TVSMOTOR,4.437243270964473,104
101,RDEL,3.0535759693474973,435
102,KOTAKBANK,9.938177360319738,233
103,SRTRANSFIN,22.9510751711135,559
104,UJJIVAN,20.05907505188283,569
105,WIPRO,56.1416569012494,384
106,PETRONET,37.39102663003898,482
107,BALRAMCHIN,4.15605037614961,416
108,BHARTIARTL,6.012543439410919,402
109,HDFCBANK,10.00317052131116,168
110,RNAVAL,,0
